Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. All serving sizes are 100 grams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167758,Rhubarb,Fruits,21,0.2,0.9,4.54,1.1,1.8,0,0.053,86,0.22,288,12,102,5,8,0,0,0.27,NULL,2.74,93.61,0,99,-6.551,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,4,0.1,0.021,0.196,1.1,NULL,NULL,NULL,0.02,0.03,0.3,0.085,0.024,NULL,7,0,7,7,6.1,NULL,0,61,0,0,170,NULL,NULL,0,29.3,NULL,NULL,39,99,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,122,"1 cup, diced",51,1 stalk,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,952.381
167759,Sapodilla,Fruits,83,1.1,0.44,19.96,NULL,5.3,0,0.194,21,0.8,193,12,60,3,14.7,0,NULL,NULL,NULL,14.66,78,0,11,-4.001,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,12,0.1,0.086,NULL,0.6,NULL,NULL,NULL,0,0.02,0.2,0.252,0.037,NULL,14,0,14,14,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,521,11,NULL,0,0,0,5,12,15,24,39,3,NULL,13,14,16,17,16,14,32,38,17,36,18,NULL,0,NULL,NULL,241,"1 cup, pulp",170,1 sapodilla,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,240.964
167760,Mamey Sapote,Fruits,124,0.46,1.45,32.1,20.14,5.4,0,0.169,18,0.78,454,11,143,7,23,0,NULL,2.11,NULL,26.7,64.87,82,11,-8.43,0,NULL,NULL,4.09,8.01,7.66,0,0.38,0,6.33,NULL,26,7,0.19,0.213,0.204,NULL,NULL,NULL,NULL,0.013,0.116,1.432,0.397,0.72,NULL,7,NULL,7,NULL,NULL,NULL,0,82,0,199,204,NULL,NULL,NULL,NULL,NULL,NULL,102,97,82,0,0,0,49,85,61,73,73,24,12,61,49,73,49,49,73,147,147,73,85,195,NULL,NULL,NULL,NULL,175,1 cup 1 inch pieces,558,1 fruit without refuse,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,161.29
167761,Soursop,Fruits,66,0.3,1,16.84,13.54,3.3,0,0.051,14,0.6,278,21,2,0,20.6,0,0,0.08,NULL,13.54,81.16,0,69,-5.111,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,14,0.1,0.086,NULL,0.6,NULL,NULL,NULL,0.07,0.05,0.9,0.253,0.059,NULL,14,0,14,14,7.6,NULL,0,1,0,0,0,NULL,NULL,0,0.4,NULL,NULL,90,69,NULL,0,0,0,11,NULL,NULL,NULL,60,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,225,"1 cup, pulp",625,1 fruit (7 inch x 5-1/4 inch dia),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,303.03
167762,Strawberries,Fruits,32,0.3,0.67,7.68,4.89,2,0,0.015,16,0.41,153,13,12,1,58.8,0,0,0.29,NULL,5.68,90.95,65,90,-2.562,0,NULL,NULL,0.47,1.99,2.44,0,0,0,0.04,NULL,24,1,0.14,0.048,0.386,0.4,4.4,NULL,NULL,0.024,0.022,0.386,0.125,0.047,NULL,24,0,24,24,5.7,0.2,0,7,0,0,26,NULL,NULL,0,2.2,0,NULL,43,155,NULL,0,0,0,8,20,16,34,26,2,6,19,22,19,28,12,33,149,98,26,20,25,NULL,0,0,0,152,"1 cup, halves",232,"1 cup, pureed",166,"1 cup, sliced",144,"1 cup, whole",27,1 extra large (1-5/8 inch dia),18,1 large (1-3/8 inch dia),12,1 medium (1-1/4 inch dia),357,"1 pint as purchased, yields",7,1 small (1 inch dia),625
167763,Tamarinds,Fruits,239,0.6,2.8,62.5,38.8,5.1,0,0.272,74,2.8,628,92,30,2,3.5,0,0,0.1,NULL,57.4,31.4,0,59,-11.079,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113,28,0.1,0.086,NULL,1.3,NULL,NULL,NULL,0.428,0.152,1.938,0.143,0.066,NULL,14,0,14,14,8.6,NULL,0,18,0,0,0,NULL,NULL,0,2.8,NULL,NULL,181,59,NULL,0,0,0,18,NULL,NULL,NULL,139,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,120,"1 cup, pulp",2,1 fruit (3 inch x 1 inch),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,83.682
167764,Fruit Salad (Pineapple And Papaya And Banana And Guava) Tropical Canned Heavy Syrup Solids And Liquids,Fruits,86,0.1,0.41,22.36,NULL,1.3,0,0.019,13,0.52,131,13,127,6,17.5,0,0,NULL,NULL,21.06,76.78,14,18,-2.815,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,2,0.11,0.08,NULL,0.5,NULL,NULL,NULL,0.054,0.045,0.562,NULL,0.12,NULL,9,0,9,9,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,18,32,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,257,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,232.558
167765,Watermelon,Fruits,30,0.15,0.61,7.55,6.2,0.4,0,0.016,7,0.24,112,10,569,28,8.1,0,0,0.05,NULL,7.15,91.45,0,50,-2.011,0,NULL,NULL,1.21,1.58,3.36,0,0.06,0,0,NULL,11,1,0.1,0.042,0.038,0.4,1.5,NULL,NULL,0.033,0.021,0.178,0.221,0.045,NULL,3,0,3,3,4.1,0.3,0,303,0,4532,8,NULL,NULL,0,0.1,0,NULL,37,50,NULL,0,0,0,7,27,19,18,62,6,2,15,12,16,59,6,17,39,63,10,24,16,NULL,0,0,0,154,"1 cup, balls",152,"1 cup, diced",4518,1 melon (15 inch long x 7-1/2 inch dia),286,1 wedge (approx 1/16 of melon),122,10 watermelon balls,280,1 nlea serving,NULL,,NULL,NULL,NULL,NULL,666.667
167766,Maraschino Cherries (Canned),Fruits,165,0.21,0.22,41.97,38.77,3.2,0,0.039,54,0.43,21,4,45,2,0,0,0,0.05,NULL,38.77,57.27,27,28,-1.032,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,4,0.26,0.143,0.012,0.2,NULL,NULL,NULL,0,0,0.004,0.054,0.005,NULL,0,0,0,0,4.3,NULL,0,27,0,0,59,NULL,NULL,0,1.5,NULL,NULL,49,55,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,5,1 cherry (nlea serving),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,121.212
167767,Pineapple Canned Juice Pack Drained,Fruits,60,0.11,0.51,15.56,14.26,1.3,0,0.008,16,0.28,124,15,50,3,9.4,0,0,0.02,NULL,14.26,83.51,17,23,-2.71,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,0.1,0.107,NULL,0.4,NULL,NULL,NULL,0.102,0.021,0.284,NULL,0.075,NULL,5,0,5,5,5.5,NULL,0,30,0,0,0,NULL,NULL,0,0.7,NULL,NULL,14,40,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,181,"1 cup, chunks",195,"1 cup, crushed",162,"1 cup, sliced",NULL,,26,1 spear,NULL,,NULL,,NULL,NULL,NULL,NULL,333.333
167768,Apricots Canned Heavy Syrup Drained,Fruits,83,0.11,0.64,21.31,18.65,2.7,0,0.007,10,0.3,143,7,2924,146,3.1,0,0,0.89,NULL,18.61,77.56,0,21,-2.537,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,4,0.11,0.097,NULL,0.1,NULL,NULL,NULL,0.021,0.024,0.376,NULL,0.055,NULL,2,0,2,2,2.8,NULL,0,1746,0,0,39,NULL,NULL,0,3.3,NULL,NULL,45,21,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,219,"1 cup, halves",182,"1 cup, whole",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,240.964
167769,Cherries Sour Canned Water Pack Drained,Fruits,42,0.21,0.69,10.45,6.99,1.2,NULL,NULL,11,0.64,115,8,NULL,NULL,0.3,0,NULL,NULL,NULL,9.25,88.31,NULL,NULL,-1.85,0,NULL,NULL,0.01,4.19,2.79,0,0,0,NULL,NULL,16,4,0.07,NULL,0.059,NULL,NULL,NULL,NULL,0.025,0.065,0.26,0.041,0.047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,168,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,476.19
167770,Cherries Sweet Canned Pitted Heavy Syrup Drained,Fruits,83,0.21,0.73,21.07,16.18,2.3,0,0.041,10,0.35,148,9,237,12,3.6,0,0,0.17,NULL,18.77,77.61,26,28,-2.392,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,3,0.1,0.176,0.048,0,NULL,NULL,NULL,0.022,0.043,0.396,0.06,0.022,NULL,5,0,5,5,2.7,NULL,0,142,0,0,57,NULL,NULL,0,0.9,NULL,NULL,49,55,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,179,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,240.964
167771,Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,Fruits,46,0.13,0.1,11.3,9.62,0.2,0,0.022,8,0.12,101,5,1,0,38.5,0,0,0.01,NULL,11.1,88.24,7,33,-2.059,0,NULL,NULL,1.26,2.63,5.73,0,0,0,NULL,NULL,7,4,0.02,0.012,0.074,0.1,39.1,NULL,NULL,0.021,0.017,0.073,0.049,0.018,NULL,0,0,0,0,1.8,0.1,0,0,0,0,16,NULL,NULL,0,0,NULL,NULL,6,39,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,248,1 cup,31,1 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,434.783
167772,Applesauce Canned Unsweetened With Added Ascorbic Acid,Fruits,42,0.1,0.17,11.27,9.39,1.1,0,0.008,4,0.23,74,3,29,1,21.2,0,0,0.16,NULL,10.17,88.22,3,12,-1.424,0,NULL,NULL,1.13,2.3,5.88,0,0.07,0,0,NULL,5,2,0.03,0.027,0.025,0.3,NULL,NULL,NULL,0.026,0.03,0.084,0.041,0.027,NULL,3,0,3,3,2.2,0.4,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0.5,0,0,2,14,NULL,NULL,NULL,NULL,2,6,6,10,10,2,2,5,3,8,5,3,6,28,17,6,6,7,NULL,NULL,NULL,NULL,244,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,476.19
167773,Applesauce Canned Sweetened With Salt,Fruits,76,0.18,0.18,19.91,NULL,1.2,0,0.03,4,0.35,61,3,11,1,1.7,0,0,NULL,NULL,18.71,79.58,9,45,-1.071,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,28,0.04,0.043,0.075,0.3,NULL,NULL,NULL,0.013,0.028,0.188,0.052,0.026,NULL,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,7,54,NULL,NULL,NULL,NULL,2,7,7,11,11,2,2,5,3,8,6,3,7,32,19,7,6,7,NULL,NULL,NULL,NULL,255,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,263.158
167774,Pink Grapefruit Juice,Fruits,39,0.1,0.5,9.2,NULL,NULL,0,0.014,9,0.2,162,12,440,22,38,0,0,NULL,NULL,9.2,90,5,19,-3.051,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,1,0.05,0.033,0.02,NULL,NULL,NULL,NULL,0.04,0.02,0.2,0.189,0.044,NULL,10,0,10,10,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,13,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,247,1 cup,196,1 fruit yields,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,512.821
167775,Apple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water With Added Ascorbic Acid,Fruits,47,0.1,0.14,11.54,NULL,0.1,0,0.018,6,0.26,126,5,0,0,25,0,0,NULL,NULL,11.44,87.9,4,27,-2.541,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,0.04,0.014,0.063,0.1,NULL,NULL,NULL,0.003,0.015,0.038,0.063,0.033,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,239,1 cup,29.9,1 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,425.532
167776,Bartlett Pears,Fruits,63,0.16,0.39,15.01,9.69,3.1,NULL,NULL,9,0.19,101,6,28,1,4.4,NULL,NULL,0.12,NULL,11.91,84.14,NULL,NULL,-1.808,0,NULL,NULL,0.43,2.5,6.76,0,0,0,NULL,NULL,11,1,0.08,0.078,0.037,0.1,NULL,NULL,NULL,0.012,0.026,0.164,0.042,0.026,NULL,6,NULL,6,NULL,5.1,NULL,NULL,14,2,0,51,NULL,NULL,NULL,3.8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,12,12,20,18,2,2,11,2,18,11,2,15,111,32,13,22,16,NULL,NULL,NULL,NULL,140,"1 cup, sliced",152,1 small,177,1 medium,227,1 large,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,317.46
167777,Red Anjou Pears,Fruits,62,0.14,0.33,14.94,9.54,3,NULL,NULL,11,0.19,123,7,24,1,5.2,NULL,NULL,0.12,NULL,11.94,84.24,NULL,NULL,-2.28,0,NULL,NULL,0.26,2.74,6.48,NULL,NULL,NULL,NULL,NULL,13,1,0.13,0.07,0.056,0.1,NULL,NULL,NULL,0.012,0.028,0.162,0.053,0.039,NULL,7,NULL,7,NULL,5.1,NULL,NULL,14,0,0,53,NULL,NULL,NULL,4.9,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,10,10,17,15,2,1,10,1,15,9,1,12,94,27,11,19,14,NULL,NULL,NULL,NULL,126,1 small,157,1 medium,223,1 large,140,"1 cup, sliced",NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,322.581
167778,Bosc Pear,Fruits,67,0.09,0.36,16.1,10.23,3.1,NULL,NULL,10,0.15,122,7,19,1,2.8,NULL,NULL,0.12,NULL,13,83.18,NULL,NULL,-2.194,0,NULL,NULL,2.11,2.48,5.64,0,0,0,NULL,NULL,14,1,0.13,0.104,0.047,0,NULL,NULL,NULL,0.012,0.023,0.152,0.057,0.021,NULL,7,NULL,7,NULL,5.1,NULL,NULL,11,0,0,11,NULL,NULL,NULL,5.2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,11,11,18,16,2,1,10,2,16,10,1,13,101,29,12,20,15,NULL,NULL,NULL,NULL,140,"1 cup, sliced",159,1 small,179,1 medium,219,1 large,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,298.507
167779,Green Anjou Pear,Fruits,66,0.1,0.44,15.79,9.73,3.1,NULL,NULL,11,0.24,127,7,25,1,4.4,NULL,NULL,0.12,NULL,12.69,83.31,NULL,NULL,-2.31,0,NULL,NULL,0.33,3.33,6.06,0,0,0,NULL,NULL,13,1,0.1,0.077,0.048,0,NULL,NULL,NULL,0.01,0.022,0.151,0.043,0.026,NULL,9,NULL,9,NULL,5.1,NULL,NULL,14,0,0,46,NULL,NULL,NULL,4.3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,14,13,22,20,3,2,13,2,20,12,2,16,124,36,15,25,18,NULL,NULL,NULL,NULL,140,"1 cup, sliced",172,1 small,202,1 medium,242,1 large,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,303.03
167780,Prune Puree,Fruits,257,0.2,2.1,65.1,39,3.3,0,0.016,31,2.8,852,NULL,2000,100,4.3,NULL,NULL,NULL,NULL,61.8,30,NULL,NULL,NULL,0,NULL,NULL,NULL,22.27,13.87,NULL,NULL,NULL,NULL,NULL,72,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.04,NULL,2.5,0.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,2 tbsp,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,77.821
167781,Candied Fruit,Fruits,322,0.07,0.34,82.74,80.68,1.6,0,0.01,18,0.17,56,4,19,1,0,0,0,0.04,NULL,81.14,16.7,8,13,-1.169,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,98,0.05,0.029,0.111,0.6,NULL,NULL,NULL,0,0,0,NULL,0,NULL,0,0,0,0,2.2,NULL,0,9,0,0,11,NULL,NULL,0,0.3,NULL,NULL,8,20,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,62.112
167782,Abiyuch,Fruits,69,0.1,1.5,17.6,8.55,5.3,NULL,0.014,8,1.61,304,24,100,5,54.1,NULL,NULL,NULL,NULL,12.3,79.9,NULL,NULL,-4.676,0,NULL,NULL,0.05,4.5,3.8,0,0.2,0,NULL,NULL,47,20,0.31,0.057,0.182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,60,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,1/2 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,289.855
167783,Rowal,Fruits,111,2,2.3,23.9,14.1,6.2,NULL,0.245,15,2.2,131,32,383,19,25.8,NULL,NULL,NULL,NULL,17.7,71.4,NULL,NULL,-0.75,0,NULL,NULL,12.5,1.1,0.5,0,0,0,NULL,NULL,52,4,0.43,1.06,0.155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,230,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,1/2 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,228,1 cup,180.18
167784,Guava Nectar Canned With Added Ascorbic Acid,Fruits,63,0.06,0.09,16.25,12.95,1,0,0.02,8,0.38,39,2,106,NULL,21.1,NULL,NULL,0.05,NULL,15.25,83.51,NULL,NULL,-0.861,0,NULL,NULL,0.07,5.65,5.76,0,1.47,0,0,NULL,2,6,0.03,0.017,0.058,NULL,NULL,NULL,NULL,0.003,0.003,0.17,0.08,0.01,NULL,3,0,3,3,1.1,0.1,NULL,NULL,NULL,35,0,NULL,NULL,NULL,1,0,0,20,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,317.46
167785,Mango Nectar Canned,Fruits,51,0.06,0.11,13.12,12.45,0.3,0,0.014,17,0.36,24,3,692,35,15.2,0,0,0.21,NULL,12.82,86.63,8,3,-0.678,0,NULL,NULL,1.02,5.31,5.56,0,0.56,0,0,NULL,2,5,0.02,0.015,0.028,0.4,NULL,NULL,NULL,0.003,0.003,0.08,0.07,0.015,NULL,7,0,7,7,1.5,0,0,402,0,0,0,NULL,NULL,0,0.8,0,0,22,11,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,251,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,392.157
167786,Tamarind Nectar Canned,Fruits,57,0.12,0.09,14.73,12.7,0.5,0,NULL,10,0.75,27,4,0,0,7.1,0,NULL,0.12,NULL,14.23,84.97,NULL,NULL,-0.687,0,NULL,NULL,0.13,5.92,6.07,0,0.57,0,0,NULL,2,7,0.02,0.014,0.02,NULL,NULL,NULL,NULL,0.003,0.003,0.07,0.037,0.007,NULL,1,0,1,1,1.3,0.1,NULL,0,0,0,0,NULL,NULL,NULL,0.1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,350.877
167787,Pomegranate Juice Bottled,Fruits,54,0.29,0.15,13.13,12.65,0.1,0,0.077,11,0.1,214,7,0,0,0.1,0,0,0.38,NULL,13.03,85.95,0,50,-4.362,0,NULL,NULL,0,6.28,6.37,0,0,0,NULL,NULL,11,9,0.09,0.021,0.095,0.3,NULL,NULL,NULL,0.015,0.015,0.233,0.285,0.04,NULL,24,0,24,24,4.8,NULL,0,0,0,0,0,NULL,NULL,0,10.4,NULL,NULL,59,50,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,249,1 cup,31.4,1 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,499,16 oz glass,370.37
